,Region,Country,State,City,Month,Day,Year,AvgTemperature
11975,Africa,Burundi,,Bujumbura,6.0,2.0,2002.0,-99.0
59386,Africa,Ethiopia,,Addis Ababa,3.0,24.0,2018.0,67.0
33676,Africa,Congo,,Brazzaville,8.0,28.0,1998.0,-99.0
11178,Africa,Burundi,,Bujumbura,3.0,27.0,2000.0,-99.0
57535,Africa,Ethiopia,,Addis Ababa,3.0,30.0,2013.0,68.6
48595,Africa,Egypt,,Cairo,2.0,19.0,2014.0,60.1
72219,Africa,Gambia,,Banjul,8.0,20.0,2002.0,81.7
11854,Africa,Burundi,,Bujumbura,2.0,1.0,2002.0,-99.0
92333,Africa,Guinea-Bissau,,Bissau,12.0,17.0,2008.0,80.1
64390,Africa,Gabon,,Libreville,7.0,27.0,2006.0,76.5
6753,Africa,Algeria,,Algiers,6.0,28.0,2013.0,67.2
11169,Africa,Burundi,,Bujumbura,3.0,18.0,2000.0,-99.0
85930,Africa,Guinea,,Conakry,10.0,19.0,2016.0,80.1
39397,Africa,Congo,,Brazzaville,4.0,27.0,2014.0,81.1
9671,Africa,Burundi,,Bujumbura,2.0,10.0,1996.0,-99.0
66381,Africa,Gabon,,Libreville,1.0,8.0,2012.0,79.3
60860,Africa,Gabon,,Libreville,11.0,26.0,1996.0,77.8
66675,Africa,Gabon,,Libreville,10.0,28.0,2012.0,80.2
42576,Africa,Egypt,,Cairo,8.0,28.0,1997.0,77.3
94372,Africa,Guinea-Bissau,,Bissau,7.0,18.0,2014.0,81.9
76125,Africa,Gambia,,Banjul,4.0,30.0,2015.0,76.3
1753,Africa,Algeria,,Algiers,10.0,20.0,1999.0,69.0
28322,Africa,Central African Republic,,Bangui,5.0,14.0,2009.0,80.6
67065,Africa,Gabon,,Libreville,11.0,22.0,2013.0,80.7
59181,Africa,Ethiopia,,Addis Ababa,8.0,31.0,2017.0,59.6
100723,Africa,Ivory Coast,,Abidjan,7.0,26.0,2006.0,78.7
30833,Africa,Central African Republic,,Bangui,3.0,28.0,2016.0,87.8
56935,Africa,Ethiopia,,Addis Ababa,8.0,8.0,2011.0,58.9
31919,Africa,Central African Republic,,Bangui,3.0,19.0,2019.0,86.4
52904,Africa,Ethiopia,,Addis Ababa,7.0,25.0,2000.0,60.2
22083,Africa,Benin,,Cotonou,8.0,26.0,2017.0,76.1
17273,Africa,Benin,,Cotonou,6.0,26.0,2004.0,79.8
16314,Africa,Benin,,Cotonou,11.0,10.0,2001.0,81.5
45311,Africa,Egypt,,Cairo,2.0,22.0,2005.0,62.4
71903,Africa,Gambia,,Banjul,10.0,8.0,2001.0,80.8
38009,Africa,Congo,,Brazzaville,7.0,9.0,2010.0,74.0
76626,Africa,Gambia,,Banjul,9.0,11.0,2016.0,80.3
17319,Africa,Benin,,Cotonou,8.0,11.0,2004.0,77.5
71394,Africa,Gambia,,Banjul,5.0,17.0,2000.0,76.0
92210,Africa,Guinea-Bissau,,Bissau,8.0,16.0,2008.0,-99.0
56868,Africa,Ethiopia,,Addis Ababa,6.0,2.0,2011.0,62.9
61700,Africa,Gabon,,Libreville,3.0,16.0,1999.0,79.8
74647,Africa,Gambia,,Banjul,4.0,13.0,2011.0,77.4
91455,Africa,Guinea-Bissau,,Bissau,7.0,24.0,2006.0,-99.0
5509,Africa,Algeria,,Algiers,1.0,31.0,2010.0,51.8
23115,Africa,Central African Republic,,Bangui,2.0,10.0,1995.0,80.8
99507,Africa,Ivory Coast,,Abidjan,3.0,28.0,2003.0,86.8
61750,Africa,Gabon,,Libreville,5.0,5.0,1999.0,82.9
3288,Africa,Algeria,,Algiers,1.0,2.0,2004.0,54.9
24401,Africa,Central African Republic,,Bangui,8.0,19.0,1998.0,76.4
